SourceTextTitle,SourceTextCode,EventID,PageNumber,OrderWithinPage,begin_word,end_word
"Absalom, Absalom!",AA,16164,274,274.01,Then it was the next year and Bon was an officer,"Then it was Shiloh, the second day and the lost battle"
"Absalom, Absalom!",AA,16165,275,275.01,"Then it was Shiloh, the second day and the lost battle","And listen,"" Shreve cried; ""wait, now; wait!"""
"Absalom, Absalom!",AA,16166,275,275.02,"And listen,"" Shreve cried; ""wait, now; wait!""","it was not Bon, it was Henry; Bon that found Henry"
"Absalom, Absalom!",AA,16167,275,275.03,"it was not Bon, it was Henry; Bon that found Henry","First, two of them, then four; now two again."
"Absalom, Absalom!",AA,16168,275,275.04,"First, two of them, then four; now two again.",since it was '64 and then '65 and the starved
"Absalom, Absalom!",AA,16169,276,276.01,since it was '64 and then '65 and the starved,"two, four, now two again, according to Quentin and Shreve"
"Absalom, Absalom!",AA,16170,276,276.02,"two, four, now two again, according to Quentin and Shreve",the two the four the two facing one another
"Absalom, Absalom!",AA,16171,276,276.03,the two the four the two facing one another,"( - the winter of '64 now, the army retreated across"
"Absalom, Absalom!",AA,16172,276,276.04,"( - the winter of '64 now, the army retreated across",Then it was '65 and what was left of the Army
"Absalom, Absalom!",AA,16174,277,277.01,Then it was '65 and what was left of the Army,"Then they were in Carolina, that January and February"
"Absalom, Absalom!",AA,16175,278,278.01,"Then they were in Carolina, that January and February",Then March in Carolina and still the walking backward
"Absalom, Absalom!",AA,16176,278,278.02,Then March in Carolina and still the walking backward,Then one day (he was an officer; he would
"Absalom, Absalom!",AA,16177,278,278.03,Then one day (he was an officer; he would,And maybe it was that same night or maybe
"Absalom, Absalom!",AA,16178,278,278.04,And maybe it was that same night or maybe,Then one night they had stopped again since Sherman
"Absalom, Absalom!",AA,16179,279,279.01,Then one night they had stopped again since Sherman,"""And so you and the old dame, the Aunt Rosa,"
"Absalom, Absalom!",AA,16180,279,279.02,"""And so you and the old dame, the Aunt Rosa,","He ceased again.  It was just as well, since"
"Absalom, Absalom!",AA,16182,280,280.01,"He ceased again.  It was just as well, since","bivouac fires burning in a pine grove, the gaunt"
"Absalom, Absalom!",AA,16183,280,280.02,"bivouac fires burning in a pine grove, the gaunt","The orderly does not return with him.  Instead, he walks"
"Absalom, Absalom!",AA,16184,281,281.01,"The orderly does not return with him.  Instead, he walks",Nor did Henry ever say that he did not remember
"Absalom, Absalom!",AA,16185,283,283.01,Nor did Henry ever say that he did not remember,"Then it was dawn, or almost, and it was cold;"
"Absalom, Absalom!",AA,16186,284,284.01,"Then it was dawn, or almost, and it was cold;","""And he never slipped away,"" Shreve said.  ""He could have,"
